recipe_id,recipe_name,recipe_url,ingredients,cook_time,calorie_count,review_count,overall_rating
76591,crab-sald,https://www.allrecipes.com/recipe/76591/crab-sald/,"['1 (12 inch) pre-baked pizza crust', '1 1/2 cups shredded mozzarella cheese', '1 (14 ounce) jar pizza sauce', '1 (12 ounce) package Johnsonville® Three Cheese Italian Style Chicken Sausage, sliced', '1 (3.5 ounce) package sliced pepperoni']",30 m,505  cals,0 reviews,0
76592,chicken-salad-duplicate-1022004-13618-am,https://www.allrecipes.com/recipe/76592/chicken-salad-duplicate-1022004-13618-am/,"['1 (12 inch) pre-baked pizza crust', '1 1/2 cups shredded mozzarella cheese', '1 (14 ounce) jar pizza sauce', '1 (12 ounce) package Johnsonville® Three Cheese Italian Style Chicken Sausage, sliced', '1 (3.5 ounce) package sliced pepperoni']",30 m,505  cals,0 reviews,0
76593,coconut-dream-cake,https://www.allrecipes.com/recipe/76593/coconut-dream-cake/,"['1 (12 inch) pre-baked pizza crust', '1 1/2 cups shredded mozzarella cheese', '1 (14 ounce) jar pizza sauce', '1 (12 ounce) package Johnsonville® Three Cheese Italian Style Chicken Sausage, sliced', '1 (3.5 ounce) package sliced pepperoni']",30 m,505  cals,0 reviews,0
76594,grandmothers-buttermilk-cornbread,https://www.allrecipes.com/recipe/76594/grandmothers-buttermilk-cornbread/,"['1/2 cup butter', '2/3 cup white sugar', '2 eggs', '1 cup buttermilk', '1/2 teaspoon baking soda', '1 cup cornmeal', '1 cup all-purpose flour', '1/2 teaspoon salt']",55 m,284  cals,4973 reviews,4.810138226
76595,southwestern-chicken-picante-salad,https://www.allrecipes.com/recipe/76595/southwestern-chicken-picante-salad/,"['1 (12 inch) pre-baked pizza crust', '1 1/2 cups shredded mozzarella cheese', '1 (14 ounce) jar pizza sauce', '1 (12 ounce) package Johnsonville® Three Cheese Italian Style Chicken Sausage, sliced', '1 (3.5 ounce) package sliced pepperoni']",30 m,505  cals,0 reviews,0
76596,so-simple-apple-crisp,https://www.allrecipes.com/recipe/76596/so-simple-apple-crisp/,"['1 (12 inch) pre-baked pizza crust', '1 1/2 cups shredded mozzarella cheese', '1 (14 ounce) jar pizza sauce', '1 (12 ounce) package Johnsonville® Three Cheese Italian Style Chicken Sausage, sliced', '1 (3.5 ounce) package sliced pepperoni']",30 m,505  cals,0 reviews,0
76597,meatballs-in-sour-cream-gravy,https://www.allrecipes.com/recipe/76597/meatballs-in-sour-cream-gravy/,"['1 (16 ounce) package uncooked wide egg noodles', '2 pounds ground beef', '1 1/2 teaspoons salt, divided', '1/4 teaspoon pepper', '2 eggs, beaten', '1 cup chopped onion', '2 (4.25 ounce) cans pitted black olives', '3 tablespoons vegetable oil', '3 tablespoons all-purpose flour', '1/2 cup water', '2 cups sour cream', '1 teaspoon dried dill weed']",45 m,632  cals,5 reviews,4
76598,company-carrots-duplicate-1022004-13647-am,https://www.allrecipes.com/recipe/76598/company-carrots-duplicate-1022004-13647-am/,"['1 (12 inch) pre-baked pizza crust', '1 1/2 cups shredded mozzarella cheese', '1 (14 ounce) jar pizza sauce', '1 (12 ounce) package Johnsonville® Three Cheese Italian Style Chicken Sausage, sliced', '1 (3.5 ounce) package sliced pepperoni']",30 m,505  cals,0 reviews,0
76599,roasted-garlic-and-white-cheddar-mashed-potatoes,https://www.allrecipes.com/recipe/76599/roasted-garlic-and-white-cheddar-mashed-potatoes/,"['1 (12 inch) pre-baked pizza crust', '1 1/2 cups shredded mozzarella cheese', '1 (14 ounce) jar pizza sauce', '1 (12 ounce) package Johnsonville® Three Cheese Italian Style Chicken Sausage, sliced', '1 (3.5 ounce) package sliced pepperoni']",30 m,505  cals,0 reviews,0
76600,patriotic-apple-pie,https://www.allrecipes.com/recipe/76600/patriotic-apple-pie/,"['1 (12 inch) pre-baked pizza crust', '1 1/2 cups shredded mozzarella cheese', '1 (14 ounce) jar pizza sauce', '1 (12 ounce) package Johnsonville® Three Cheese Italian Style Chicken Sausage, sliced', '1 (3.5 ounce) package sliced pepperoni']",30 m,505  cals,0 reviews,0
