recipe_id,recipe_url,calories,fat,carb,protein,cholesterol,sodium
220730,https://www.allrecipes.com/recipe/220730/easiest-falafel/,301 calories;,17.8 ,31.8,7.6 ,37 ,343 
220731,https://www.allrecipes.com/recipe/220731/southwestern-falafel/,326 calories;,18.8 ,32,7.6 ,31 ,1354 
220732,https://www.allrecipes.com/recipe/220732/colossal-american-falafel/,526 calories;,30.4 ,48.8,16.6 ,87 ,1285 
220733,https://www.allrecipes.com/recipe/220733/apple-caramel-bars/,239 calories;,11 ,32.9,3.6 ,21 ,227 
220734,https://www.allrecipes.com/recipe/220734/simple-falafel-chickpea-burgers/,237 calories;,7.7 ,35,8.6 ,13 ,1009 
220735,https://www.allrecipes.com/recipe/220735/no-fuss-falafel/,203 calories;,9.5 ,25.4,5.1 ,0 ,631 
220736,https://www.allrecipes.com/recipe/220736/apple-caramel-biscotti/,106 calories;,4.4 ,15.4,1.4 ,17 ,112 
220737,https://www.allrecipes.com/recipe/220737/incredible-middles-apple-caramel-decadent-cupcakes/,433 calories;,19.4 ,63.1,3.6 ,46 ,365 
220738,https://www.allrecipes.com/recipe/220738/decadent-chocolate-cherry-torte/,662 calories;,29 ,95.2,9.7 ,93 ,611 
220739,https://www.allrecipes.com/recipe/220739/chocolate-chocolate-chip-cheesecake-bars/,203 calories;,11 ,24.2,3.6 ,46 ,211 
220740,https://www.allrecipes.com/recipe/220740/mexican-chocolate-chili-cupcakes/,362 calories;,15.7 ,53.9,4.3 ,40 ,342 
220741,https://www.allrecipes.com/recipe/220741/triple-chocolate-cream-filled-cupcakes/,325 calories;,16.7 ,41.9,4.1 ,57 ,309 
